Ward name,New code,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,% All Children aged 0-15 - 2015,% All Working-age (16-64) - 2015,% All Older people aged 65+ - 2015,Rate of JobSeekers Allowance (JSA) Claimants - 2015,Crime rate - 2014/15,Violence against the person rate - 2014/15,"Deliberate Fires per 1,000 population - 2014",% area that is open space - 2014,
City of London,E09000001,650,6250.00,1250.00,8.00,76.90,15.20,1.30,656.40,85.30,0.40,18.60,
Barking and Dagenham - Abbey,E05000026,3850,10150.00,750.00,26.00,69.00,5.00,4.00,138.10,42.20,1.40,21.90,
Barking and Dagenham - Alibon,E05000027,2700,6800.00,1050.00,25.70,64.30,10.00,3.70,73.60,27.30,0.70,20.60,
Barking and Dagenham - Becontree,E05000028,3200,8350.00,1100.00,25.40,65.90,8.70,3.60,79.90,27.60,1.20,1.90,
Barking and Dagenham - Chadwell Heath,E05000029,2550,6400.00,1450.00,24.30,61.50,14.20,3.70,76.10,24.60,1.30,56.00,
Barking and Dagenham - Eastbrook,E05000030,2150,7050.00,1550.00,20.10,65.70,14.20,4.00,66.70,24.50,0.80,50.40,
Barking and Dagenham - Eastbury,E05000031,3000,7750.00,1150.00,25.20,65.20,9.60,3.60,82.20,24.90,0.60,17.10,
Barking and Dagenham - Gascoigne,E05000032,5100,9900.00,850.00,32.00,62.60,5.40,4.10,75.80,20.30,0.90,20.80,
Barking and Dagenham - Goresbrook,E05000033,3000,7250.00,1250.00,25.90,63.20,10.90,3.50,74.80,25.80,0.90,14.10,
Barking and Dagenham - Heath,E05000034,2900,6950.00,1300.00,26.20,62.30,11.50,3.90,83.70,24.20,2.00,36.30,
Barking and Dagenham - Longbridge,E05000035,2600,7850.00,1450.00,21.70,66.00,12.20,2.30,57.00,16.60,0.40,28.30,
Barking and Dagenham - Mayesbrook,E05000036,2850,6550.00,1150.00,26.90,62.10,11.00,3.60,67.90,24.40,0.70,44.80,
Barking and Dagenham - Parsloes,E05000037,2550,6400.00,1100.00,25.20,63.70,11.10,4.10,56.80,19.70,0.90,17.40,
Barking and Dagenham - River,E05000038,3150,7600.00,1200.00,26.50,63.60,9.90,3.40,85.00,29.30,1.30,20.50,
Barking and Dagenham - Thames,E05000039,6150,11850.00,950.00,32.50,62.50,5.00,4.00,95.60,19.80,1.70,43.80,
Barking and Dagenham - Valence,E05000040,2600,6450.00,1150.00,25.50,63.20,11.30,2.50,68.30,18.30,0.20,11.80,
Barking and Dagenham - Village,E05000041,2750,7100.00,1200.00,24.80,64.10,11.10,4.00,90.80,29.80,1.10,47.00,
Barking and Dagenham - Whalebone,E05000042,2650,7200.00,1300.00,23.70,64.50,11.80,2.60,72.40,20.80,0.50,16.00,
Barnet - Brunswick Park,E05000043,3400,11350.00,2800.00,19.50,64.70,15.90,1.70,49.40,12.00,0.10,28.00,
Barnet - Burnt Oak,E05000044,4750,13050.00,1800.00,24.30,66.50,9.10,2.70,68.50,27.00,0.70,18.90,
Barnet - Childs Hill,E05000045,4100,14300.00,2650.00,19.50,67.90,12.60,2.70,90.50,22.30,0.10,15.10,
Barnet - Colindale,E05000046,6100,18550.00,2000.00,22.80,69.70,7.50,3.10,58.90,16.90,0.20,19.80,
Barnet - Coppetts,E05000047,3500,12500.00,2000.00,19.50,69.40,11.10,2.10,75.60,17.10,0.50,40.30,
Barnet - East Barnet,E05000048,3550,11050.00,2550.00,20.60,64.60,14.80,1.90,44.00,13.90,0.10,34.80,
Barnet - East Finchley,E05000049,3250,11300.00,2300.00,19.20,67.10,13.60,1.60,47.50,11.30,0.20,37.80,
Barnet - Edgware,E05000050,4050,10850.00,2750.00,22.90,61.60,15.50,1.60,71.40,17.20,0.20,54.00,
Barnet - Finchley Church End,E05000051,3200,10800.00,2800.00,19.00,64.30,16.60,1.60,52.00,9.20,0.20,13.70,
Barnet - Garden Suburb,E05000052,3450,10500.00,3000.00,20.30,61.90,17.70,1.10,65.10,11.00,0.10,24.20,
Barnet - Golders Green,E05000053,6400,16050.00,2500.00,25.60,64.30,10.10,2.20,61.30,11.30,0.20,14.60,
Barnet - Hale,E05000054,4100,11500.00,2650.00,22.50,63.10,14.40,1.60,46.80,12.20,0.30,48.80,
Barnet - Hendon,E05000055,4150,12800.00,2300.00,21.50,66.50,12.00,1.90,72.60,19.70,0.40,16.40,
Barnet - High Barnet,E05000056,2950,10500.00,2850.00,18.10,64.30,17.60,1.40,56.30,12.60,0.40,47.90,
Barnet - Mill Hill,E05000057,4350,12800.00,2800.00,21.90,64.10,14.00,1.30,62.80,14.70,0.20,59.00,
Barnet - Oakleigh,E05000058,3200,10550.00,2850.00,19.30,63.40,17.30,1.30,49.70,11.70,0.10,15.30,
Barnet - Totteridge,E05000059,3400,10600.00,2900.00,20.20,62.70,17.00,1.00,39.70,9.20,0.20,57.70,
Barnet - Underhill,E05000060,3400,11000.00,2900.00,19.60,63.70,16.70,2.20,57.90,17.80,0.40,43.80,
Barnet - West Finchley,E05000061,3250,11950.00,2300.00,18.60,68.20,13.10,1.50,55.20,14.70,0.20,13.40,
Barnet - West Hendon,E05000062,3950,13100.00,2150.00,20.60,68.20,11.20,2.10,99.90,20.30,0.30,32.00,
Barnet - Woodhouse,E05000063,3500,12650.00,2550.00,18.60,67.60,13.80,1.90,69.30,15.90,0.20,19.30,
Bexley - Barnehurst,E05000064,2000,6600.00,2050.00,18.70,62.00,19.30,1.40,46.50,15.50,0.40,36.00,
Bexley - Belvedere,E05000065,2900,7950.00,1600.00,23.20,63.90,12.90,2.40,62.00,19.80,1.20,33.10,
Bexley - Blackfen and Lamorbey,E05000066,1950,6700.00,2050.00,18.30,62.60,19.10,1.10,28.80,6.90,0.20,9.50,
Bexley - Blendon and Penhill,E05000067,2000,6900.00,2150.00,18.00,62.60,19.50,0.80,37.70,7.60,0.30,13.80,
Bexley - Brampton,E05000068,1750,6350.00,2450.00,16.60,60.10,23.30,0.90,26.30,6.30,0.00,9.10,
Bexley - Christchurch,E05000069,2050,7200.00,2100.00,18.10,63.30,18.60,1.70,97.50,28.50,0.40,17.30,
Bexley - Colyers,E05000070,2550,7150.00,1700.00,22.30,62.70,15.00,2.30,39.50,13.20,0.30,13.00,
Bexley - Crayford,E05000071,2500,7700.00,1750.00,20.90,64.60,14.60,2.00,62.20,17.10,0.80,41.70,
Bexley - Cray Meadows,E05000072,2350,6950.00,2000.00,20.80,61.50,17.70,1.80,54.30,16.40,0.50,61.70,
Bexley - Danson Park,E05000073,2000,7000.00,1950.00,18.30,63.80,18.00,1.20,54.00,15.70,0.60,36.40,
Bexley - East Wickham,E05000074,2000,6850.00,2100.00,18.40,62.40,19.20,1.50,40.50,12.60,0.50,26.80,
Bexley - Erith,E05000075,3200,8100.00,1500.00,25.10,63.30,11.60,2.90,82.30,22.20,1.60,44.60,
Bexley - Falconwood and Welling,E05000076,2000,7100.00,1800.00,18.20,65.20,16.70,1.10,47.70,13.20,0.30,0.70,
Bexley - Lesnes Abbey,E05000077,2300,7250.00,1900.00,20.30,63.30,16.50,2.20,59.80,14.10,1.50,37.00,
Bexley - Longlands,E05000078,1750,6600.00,2250.00,16.40,62.40,21.20,1.20,34.20,9.70,0.30,28.90,
Bexley - North End,E05000079,3150,7450.00,1250.00,26.70,62.70,10.60,3.90,81.20,27.20,2.40,65.30,
Bexley - Northumberland Heath,E05000080,2100,6800.00,1800.00,19.50,63.60,16.90,1.80,42.10,12.00,0.70,13.60,
Bexley - St. Mary's,E05000081,1850,6300.00,2350.00,17.70,59.90,22.40,0.80,33.20,7.90,0.60,46.80,
Bexley - St. Michael's,E05000082,2300,7200.00,1750.00,20.40,64.00,15.60,1.20,30.00,11.30,0.00,5.90,
Bexley - Sidcup,E05000083,1750,7050.00,2200.00,15.90,64.20,19.90,1.30,50.50,14.80,0.20,25.80,
Bexley - Thamesmead East,E05000084,3500,8100.00,950.00,27.80,64.80,7.40,3.70,54.90,19.70,0.70,70.50,
Brent - Alperton,E05000085,3050,10750.00,1550.00,19.80,70.10,10.10,2.00,69.10,21.20,0.30,17.70,
Brent - Barnhill,E05000086,3400,10850.00,2000.00,20.90,66.70,12.40,2.70,64.70,21.40,0.10,31.60,
Brent - Brondesbury Park,E05000087,2350,9250.00,1700.00,17.80,69.60,12.60,2.30,70.80,16.10,0.50,9.70,
Brent - Dollis Hill,E05000088,3300,8700.00,1650.00,24.10,63.70,12.20,3.80,67.30,22.80,0.20,26.60,
Brent - Dudden Hill,E05000089,3350,10750.00,1700.00,21.20,68.10,10.70,4.10,88.20,30.20,0.30,11.60,
Brent - Fryent,E05000090,2900,9450.00,1800.00,20.50,66.80,12.70,1.60,58.40,18.10,0.40,39.30,
Brent - Harlesden,E05000091,4750,11150.00,1550.00,27.30,63.80,9.00,8.50,100.30,37.90,0.20,8.90,
Brent - Kensal Green,E05000092,3200,10350.00,1550.00,21.10,68.70,10.20,5.80,86.60,31.80,0.00,6.90,
Brent - Kenton,E05000093,2050,8150.00,2350.00,16.20,65.00,18.80,1.60,51.30,11.10,0.40,17.00,
Brent - Kilburn,E05000094,3400,12500.00,1650.00,19.50,71.10,9.40,4.70,79.30,27.10,0.20,11.10,
Brent - Mapesbury,E05000095,2750,11750.00,1500.00,17.20,73.40,9.40,3.90,71.80,21.30,0.40,9.60,
Brent - Northwick Park,E05000096,2150,9350.00,1800.00,16.00,70.30,13.70,1.70,64.70,19.20,0.20,32.00,
Brent - Preston,E05000097,3300,10400.00,2050.00,20.80,66.20,13.00,2.40,57.90,17.10,0.10,19.20,
Brent - Queens Park,E05000098,3200,10750.00,1550.00,20.50,69.60,9.90,2.60,72.90,19.40,0.10,19.00,
Brent - Queensbury,E05000099,3350,11400.00,2100.00,19.80,67.80,12.40,1.90,65.00,17.10,0.20,13.70,
Brent - Stonebridge,E05000100,4700,11350.00,1600.00,26.70,64.40,9.00,8.10,116.00,39.50,0.10,16.20,
Brent - Sudbury,E05000101,3250,10350.00,1700.00,21.10,67.80,11.10,2.30,51.50,18.10,0.00,34.60,
Brent - Tokyngton,E05000102,3800,13300.00,1850.00,20.00,70.30,9.70,2.10,82.80,21.30,0.20,19.80,
Brent - Welsh Harp,E05000103,3000,9300.00,1700.00,21.50,66.40,12.10,3.20,62.90,21.10,0.20,34.00,
Brent - Wembley Central,E05000104,3100,11350.00,1700.00,19.10,70.30,10.60,2.60,118.30,39.50,0.10,20.10,
Brent - Willesden Green,E05000105,3050,11600.00,1300.00,19.10,72.70,8.20,4.40,94.90,33.80,0.20,36.80,
Bromley - Bickley,E05000106,3000,9300.00,3150.00,19.40,60.30,20.40,1.00,36.50,7.10,0.40,21.50,
Bromley - Biggin Hill,E05000107,1850,6400.00,2000.00,18.00,62.40,19.60,0.70,44.80,12.70,0.40,72.70,
Bromley - Bromley Common and Keston,E05000108,3350,10100.00,2800.00,20.70,62.20,17.10,1.30,53.00,19.20,0.40,58.60,
Bromley - Bromley Town,E05000109,3900,12200.00,2500.00,20.80,65.70,13.50,1.20,139.00,35.30,0.20,17.60,
Bromley - Chelsfield and Pratts Bottom,E05000110,2800,9000.00,3000.00,19.10,60.70,20.30,0.80,40.30,6.40,0.40,68.40,
Bromley - Chislehurst,E05000111,2900,9200.00,3300.00,18.70,59.80,21.40,0.80,55.20,14.60,0.40,59.10,
Bromley - Clock House,E05000112,3450,10600.00,2000.00,21.60,66.00,12.40,1.40,46.00,15.30,0.40,16.20,
Bromley - Copers Cope,E05000113,2500,10750.00,2650.00,15.80,67.60,16.60,0.90,70.50,20.90,0.20,16.70,
Bromley - Cray Valley East,E05000114,3600,9550.00,2700.00,22.70,60.30,17.10,2.10,102.20,28.50,2.90,76.20,
Bromley - Cray Valley West,E05000115,4050,10500.00,2600.00,23.60,61.20,15.20,2.40,71.50,25.40,0.70,23.40,
Bromley - Crystal Palace,E05000116,2700,9200.00,1050.00,20.70,71.10,8.20,3.00,90.00,29.90,1.60,49.20,
Bromley - Darwin,E05000117,1000,3050.00,1300.00,18.40,57.40,24.20,0.60,43.90,11.50,0.40,88.50,
Bromley - Farnborough and Crofton,E05000118,2550,8700.00,3600.00,17.30,58.50,24.20,0.70,43.00,14.80,0.60,48.90,
Bromley - Hayes and Coney Hall,E05000119,3000,10100.00,3150.00,18.50,62.00,19.50,0.80,35.00,9.20,0.30,68.90,
Bromley - Kelsey and Eden Park,E05000120,3000,10200.00,3000.00,18.60,63.00,18.40,1.10,59.90,19.50,0.10,42.70,
Bromley - Mottingham and Chislehurst North,E05000121,2400,6450.00,1500.00,23.10,62.50,14.40,3.40,93.00,27.20,1.40,44.00,
Bromley - Orpington,E05000122,2900,9350.00,3450.00,18.50,59.50,22.00,1.30,89.60,24.70,0.80,24.60,
Bromley - Penge and Cator,E05000123,3900,12100.00,1900.00,21.90,67.60,10.50,2.70,89.90,29.70,1.30,24.90,
Bromley - Petts Wood and Knoll,E05000124,2550,8250.00,3150.00,18.30,59.00,22.70,0.60,43.00,7.70,0.10,24.30,
Bromley - Plaistow and Sundridge,E05000125,3250,9950.00,2400.00,20.90,63.90,15.30,1.70,48.60,16.50,0.30,40.30,
Bromley - Shortlands,E05000126,1800,6150.00,2200.00,17.70,60.70,21.60,0.70,33.80,8.10,0.20,3.00,
Bromley - West Wickham,E05000127,2600,9450.00,3200.00,17.10,62.00,21.00,0.70,33.90,7.50,0.00,31.80,
Camden - Belsize,E05000128,2300,8850.00,1650.00,18.00,69.00,13.00,1.40,60.90,11.40,0.40,1.30,
Camden - Bloomsbury,E05000129,750,9800.00,1100.00,6.50,83.90,9.60,2.30,314.10,41.60,0.20,9.20,
Camden - Camden Town with Primrose Hill,E05000130,1900,9550.00,1650.00,14.60,72.90,12.50,2.40,297.00,62.00,0.40,15.20,
Camden - Cantelowes,E05000131,1850,9450.00,1200.00,14.80,75.60,9.50,2.60,82.50,22.00,0.60,7.40,
Camden - Fortune Green,E05000132,1850,9000.00,1300.00,15.20,74.20,10.60,2.40,54.20,15.30,0.00,18.40,
Camden - Frognal and Fitzjohns,E05000133,2000,8500.00,1750.00,16.30,69.40,14.30,0.90,56.70,8.40,0.10,5.70,
Camden - Gospel Oak,E05000134,2100,7950.00,1450.00,18.40,69.00,12.60,2.70,65.80,19.60,0.40,15.90,
Camden - Hampstead Town,E05000135,1950,7550.00,1900.00,17.30,66.30,16.50,0.70,82.90,13.50,0.30,53.90,
Camden - Haverstock,E05000136,2400,8900.00,1450.00,18.70,69.90,11.40,2.50,87.60,27.90,0.20,8.20,
Camden - Highgate,E05000137,1850,7500.00,1800.00,16.40,67.30,16.30,2.20,81.00,20.70,0.40,65.20,
Camden - Holborn and Covent Garden,E05000138,1750,10550.00,1400.00,12.70,77.10,10.30,2.10,311.00,47.30,0.10,7.50,
Camden - Kentish Town,E05000139,2150,10400.00,1350.00,15.40,75.00,9.60,2.00,89.00,26.20,0.40,5.30,
Camden - Kilburn,E05000140,2200,8750.00,1450.00,17.70,70.70,11.60,4.00,110.70,29.10,0.10,13.40,
Camden - King's Cross,E05000141,1600,10000.00,950.00,12.80,79.70,7.50,3.30,122.40,26.10,0.30,13.50,
Camden - Regent's Park,E05000142,2200,11200.00,1350.00,14.80,76.00,9.20,3.10,131.30,32.90,1.20,27.00,
Camden - St. Pancras and Somers Town,E05000143,2850,12000.00,1350.00,17.70,74.00,8.30,3.60,93.50,24.10,0.40,13.60,
Camden - Swiss Cottage,E05000144,2200,9400.00,1550.00,16.80,71.30,11.80,1.70,70.00,13.70,0.40,14.50,
Camden - West Hampstead,E05000145,1650,9750.00,1150.00,13.10,77.60,9.20,2.10,77.60,19.40,0.00,9.40,
Croydon - Addiscombe,E05000146,3550,12450.00,1750.00,19.90,70.30,9.80,2.10,61.00,17.70,0.10,2.30,
Croydon - Ashburton,E05000147,2950,9950.00,2200.00,19.50,65.90,14.60,2.30,58.10,15.60,0.40,22.20,
Croydon - Bensham Manor,E05000148,4000,10850.00,1700.00,24.10,65.60,10.30,3.70,64.40,19.60,0.00,7.80,
Croydon - Broad Green,E05000149,5300,13250.00,1500.00,26.40,66.10,7.50,3.20,151.30,42.20,1.20,4.60,
Croydon - Coulsdon East,E05000150,2350,7600.00,2750.00,18.40,59.90,21.70,1.20,34.90,9.80,0.70,56.80,
Croydon - Coulsdon West,E05000151,2600,9250.00,2300.00,18.40,65.20,16.40,1.00,46.70,11.90,0.40,17.10,
Croydon - Croham,E05000152,3250,10900.00,2050.00,20.20,67.30,12.60,1.30,57.30,15.70,0.20,19.10,
Croydon - Fairfield,E05000153,4200,15350.00,2250.00,19.20,70.50,10.30,2.40,215.90,58.70,0.20,17.50,
Croydon - Fieldway,E05000154,3500,7150.00,1200.00,29.60,60.20,10.20,4.20,61.80,26.80,2.50,22.90,
Croydon - Heathfield,E05000155,2450,8650.00,2450.00,18.20,63.70,18.20,1.60,70.70,15.20,1.00,61.30,
Croydon - Kenley,E05000156,3250,9900.00,2450.00,20.90,63.30,15.80,1.10,35.90,11.80,0.20,39.60,
Croydon - New Addington,E05000157,2750,7000.00,1450.00,24.60,62.30,13.10,2.60,70.00,26.80,2.00,31.20,
Croydon - Norbury,E05000158,3550,11250.00,2300.00,20.80,65.80,13.50,2.40,54.20,16.00,0.20,15.80,
Croydon - Purley,E05000159,3050,10050.00,2450.00,19.70,64.60,15.70,1.40,78.10,18.60,0.10,3.80,
Croydon - Sanderstead,E05000160,2250,8200.00,2750.00,17.00,62.20,20.90,1.00,29.60,6.90,0.10,48.60,
Croydon - Selhurst,E05000161,4850,12000.00,1700.00,26.20,64.60,9.20,4.20,95.90,33.00,0.80,18.30,
Croydon - Selsdon and Ballards,E05000162,1700,7800.00,2750.00,13.80,63.80,22.40,0.70,35.50,7.70,0.50,55.20,
Croydon - Shirley,E05000163,2900,9100.00,2700.00,19.70,61.90,18.40,1.70,44.10,15.00,0.60,16.00,
Croydon - South Norwood,E05000164,3750,11450.00,1750.00,22.20,67.60,10.30,3.80,80.00,26.40,0.20,17.50,
Croydon - Thornton Heath,E05000165,4300,11000.00,1600.00,25.40,65.10,9.50,4.30,82.00,30.40,0.50,11.20,
Croydon - Upper Norwood,E05000166,3450,11200.00,1950.00,20.80,67.40,11.80,2.60,70.80,20.70,0.40,19.40,
Croydon - Waddon,E05000167,4100,11650.00,1850.00,23.40,66.10,10.50,2.70,74.30,23.50,0.40,32.70,
Croydon - West Thornton,E05000168,4550,11650.00,1750.00,25.40,64.80,9.80,3.30,90.30,30.50,0.40,18.70,
Croydon - Woodside,E05000169,4200,11400.00,1500.00,24.70,66.60,8.70,3.50,65.00,21.60,0.50,33.30,
Ealing - Acton Central,E05000170,3150,11050.00,1600.00,20.00,69.90,10.20,4.00,77.90,26.00,0.40,24.20,
Ealing - Cleveland,E05000171,3200,9750.00,1900.00,21.70,65.70,12.70,3.20,47.80,13.70,0.10,34.70,
Ealing - Dormers Wells,E05000172,3150,9250.00,1750.00,22.40,65.30,12.30,4.30,54.00,21.10,0.40,47.30,
Ealing - Ealing Broadway,E05000173,2300,11400.00,1850.00,14.60,73.30,12.00,1.90,145.70,37.20,0.20,6.10,
Ealing - Ealing Common,E05000174,2250,10250.00,1700.00,15.70,72.30,12.00,2.00,68.90,15.40,0.20,22.20,
Ealing - East Acton,E05000175,3950,14200.00,1700.00,19.80,71.60,8.50,3.50,103.70,22.50,0.40,19.60,
Ealing - Elthorne,E05000176,3150,10350.00,1600.00,21.00,68.50,10.50,3.30,77.50,26.40,0.30,34.20,
Ealing - Greenford Broadway,E05000177,4400,11300.00,2050.00,24.70,63.70,11.50,3.20,81.20,27.90,0.30,26.20,
Ealing - Greenford Green,E05000178,3100,9600.00,1800.00,21.20,66.20,12.60,1.90,74.80,17.90,0.10,22.60,
Ealing - Hanger Hill,E05000179,3000,10550.00,2200.00,19.10,66.90,14.00,1.90,60.40,14.70,0.30,26.70,
Ealing - Hobbayne,E05000180,3250,9350.00,1750.00,22.50,65.40,12.10,3.20,44.20,15.00,0.30,36.10,
Ealing - Lady Margaret,E05000181,2750,9600.00,1700.00,19.70,68.10,12.20,2.60,46.20,18.40,0.40,19.40,
Ealing - Northfield,E05000182,2700,9400.00,1600.00,19.60,68.70,11.70,1.20,44.50,12.60,0.10,25.60,
Ealing - North Greenford,E05000183,3050,9900.00,1900.00,20.50,66.60,12.90,2.00,51.80,11.70,0.30,53.30,
Ealing - Northolt Mandeville,E05000184,3600,9900.00,1850.00,23.40,64.50,12.10,3.40,63.30,20.60,0.60,34.50,
Ealing - Northolt West End,E05000185,3950,9700.00,1550.00,26.00,63.80,10.20,4.40,67.50,21.10,0.50,56.30,
Ealing - Norwood Green,E05000186,2950,9650.00,1600.00,20.80,67.90,11.40,4.20,91.10,43.50,0.60,54.50,
Ealing - Perivale,E05000187,3200,10350.00,1950.00,20.60,66.80,12.50,1.90,73.30,16.80,0.30,38.30,
Ealing - South Acton,E05000188,3350,11100.00,1750.00,20.60,68.60,10.80,3.80,88.70,28.00,0.30,17.50,
Ealing - Southall Broadway,E05000189,3700,10900.00,1600.00,22.70,67.30,10.00,4.00,107.90,35.80,0.40,14.10,
Ealing - Southall Green,E05000190,3600,10250.00,1350.00,23.80,67.30,8.90,4.00,83.90,31.20,0.60,16.30,
Ealing - Southfield,E05000191,2500,9500.00,1550.00,18.60,69.90,11.50,1.80,64.50,11.10,0.10,14.30,
Ealing - Walpole,E05000192,2600,9400.00,1550.00,19.10,69.40,11.50,2.00,73.80,19.70,0.30,20.10,
Enfield - Bowes,E05000193,2650,10250.00,1650.00,18.20,70.40,11.30,2.50,50.80,14.70,0.50,15.30,
Enfield - Bush Hill Park,E05000194,2500,9050.00,2600.00,17.60,64.00,18.40,1.80,53.90,10.40,0.60,29.60,
Enfield - Chase,E05000195,3150,8950.00,1950.00,22.30,63.80,13.90,2.90,55.80,15.40,0.60,81.50,
Enfield - Cockfosters,E05000196,2250,9100.00,2750.00,16.10,64.50,19.40,1.60,46.40,11.60,0.60,68.80,
Enfield - Edmonton Green,E05000197,4950,11750.00,1600.00,27.10,64.20,8.80,6.20,117.70,36.70,0.60,33.20,
Enfield - Enfield Highway,E05000198,4050,10500.00,1800.00,24.90,64.20,10.90,4.00,82.40,25.70,1.00,40.60,
Enfield - Enfield Lock,E05000199,4500,11100.00,1400.00,26.40,65.40,8.30,4.10,69.20,23.60,0.70,39.60,
Enfield - Grange,E05000200,2300,8400.00,2600.00,17.30,63.10,19.60,1.40,59.40,13.00,0.40,27.40,
Enfield - Haselbury,E05000201,4050,10800.00,1700.00,24.50,65.30,10.20,4.40,61.10,19.90,0.50,27.00,
Enfield - Highlands,E05000202,2200,8700.00,2600.00,16.40,64.30,19.30,1.30,40.40,11.80,0.30,56.40,
Enfield - Jubilee,E05000203,3500,9350.00,1750.00,24.10,64.10,11.90,3.90,58.80,18.80,0.50,60.60,
Enfield - Lower Edmonton,E05000204,4700,10300.00,1700.00,28.00,61.80,10.20,5.30,56.20,21.90,0.20,40.60,
Enfield - Palmers Green,E05000205,2900,10550.00,2250.00,18.50,67.20,14.20,2.30,70.30,16.40,0.20,15.40,
Enfield - Ponders End,E05000206,4400,11100.00,1550.00,25.70,65.20,9.10,5.30,80.60,24.30,0.40,44.50,
Enfield - Southbury,E05000207,3700,9700.00,1500.00,24.70,65.10,10.20,3.30,98.80,25.10,0.70,29.30,
Enfield - Southgate,E05000208,2850,9900.00,2050.00,19.20,66.90,13.90,1.60,62.60,17.50,0.40,27.10,
Enfield - Southgate Green,E05000209,2550,9550.00,2250.00,17.90,66.40,15.70,2.10,43.20,10.20,0.30,20.60,
Enfield - Town,E05000210,3000,9750.00,2400.00,19.80,64.20,15.90,1.60,50.30,13.30,0.30,16.00,
Enfield - Turkey Street,E05000211,3600,9350.00,1750.00,24.40,63.70,11.80,4.40,74.50,23.70,0.30,30.50,
Enfield - Upper Edmonton,E05000212,4800,12050.00,1750.00,25.70,65.00,9.30,4.40,120.20,29.10,0.90,17.60,
Enfield - Winchmore Hill,E05000213,2550,9050.00,2100.00,18.60,66.00,15.40,1.80,43.70,9.20,0.50,25.20,
Greenwich - Abbey Wood,E05000214,4300,10250.00,1650.00,26.40,63.40,10.20,3.60,77.60,28.60,1.50,44.00,
Greenwich - Blackheath Westcombe,E05000215,2300,8950.00,2000.00,17.30,67.60,15.10,1.60,76.60,16.10,0.20,15.40,
Greenwich - Charlton,E05000216,3300,9700.00,1650.00,22.60,66.20,11.20,3.10,60.70,21.00,0.70,31.50,
Greenwich - Coldharbour and New Eltham,E05000217,2350,8650.00,2450.00,17.40,64.50,18.10,1.90,58.10,17.00,0.40,20.00,
Greenwich - Eltham North,E05000218,2250,8250.00,2400.00,17.60,63.90,18.50,1.70,67.20,17.40,0.30,24.60,
Greenwich - Eltham South,E05000219,2050,8950.00,2050.00,15.80,68.50,15.70,2.40,75.90,19.80,0.60,54.60,
Greenwich - Eltham West,E05000220,2700,8350.00,1450.00,21.50,66.90,11.60,3.00,59.90,18.40,0.20,30.50,
Greenwich - Glyndon,E05000221,4350,12750.00,1400.00,23.60,68.80,7.60,4.00,60.90,25.50,0.60,32.60,
Greenwich - Greenwich West,E05000222,3450,13550.00,1450.00,18.80,73.30,7.90,2.40,104.00,25.00,0.60,49.00,
Greenwich - Kidbrooke with Hornfair,E05000223,2900,9950.00,1850.00,19.70,67.70,12.50,2.50,70.30,23.50,0.30,28.20,
Greenwich - Middle Park and Sutcliffe,E05000224,2900,8850.00,2200.00,20.80,63.50,15.70,3.40,64.40,21.90,0.60,37.00,
Greenwich - Peninsula,E05000225,4650,18350.00,1500.00,19.00,74.80,6.20,1.60,107.60,18.70,0.20,33.70,
Greenwich - Plumstead,E05000226,3950,11550.00,1600.00,23.10,67.60,9.30,3.40,78.70,30.60,1.10,41.00,
Greenwich - Shooters Hill,E05000227,2750,9050.00,1900.00,20.20,66.00,13.80,2.50,46.30,16.40,0.10,57.20,
Greenwich - Thamesmead Moorings,E05000228,6450,14600.00,1150.00,29.10,65.80,5.10,3.80,70.50,24.00,1.50,55.40,
Greenwich - Woolwich Common,E05000229,5250,13100.00,1200.00,26.70,67.00,6.20,4.90,103.00,35.00,0.60,39.40,
Greenwich - Woolwich Riverside,E05000230,5550,16050.00,1450.00,24.00,69.70,6.30,3.80,112.80,35.00,0.40,34.90,
Hackney - Brownswood,E05000231,1850,10700.00,750.00,13.80,80.50,5.70,2.70,87.30,27.60,0.30,25.60,
Hackney - Cazenove,E05000232,4050,8850.00,850.00,29.30,64.40,6.30,3.40,49.70,16.30,0.00,12.80,
Hackney - Chatham,E05000233,2950,10050.00,950.00,21.10,72.00,6.90,5.00,115.30,41.20,0.60,20.40,
Hackney - Clissold,E05000234,2450,9300.00,950.00,19.30,73.40,7.40,2.50,75.40,19.50,0.50,12.30,
Hackney - Dalston,E05000235,2650,12300.00,1000.00,16.60,77.10,6.30,3.80,158.60,40.50,0.40,17.10,
Hackney - De Beauvoir,E05000236,2400,11700.00,1050.00,15.80,77.10,7.10,3.20,147.90,34.10,0.60,14.20,
Hackney - Hackney Central,E05000237,2300,9850.00,1000.00,17.50,74.70,7.70,3.80,114.60,35.40,0.30,14.10,
Hackney - Hackney Downs,E05000238,2600,9800.00,1000.00,19.50,73.00,7.50,4.30,80.00,25.20,0.30,33.80,
Hackney - Haggerston,E05000239,2200,12150.00,900.00,14.50,79.70,5.80,3.20,162.30,40.60,0.60,19.10,
Hackney - Hoxton,E05000240,2450,12850.00,1000.00,15.00,78.80,6.20,3.60,127.20,30.60,0.50,27.60,
Hackney - King's Park,E05000241,2800,7750.00,1100.00,24.10,66.40,9.50,5.80,68.00,28.20,0.40,66.90,
Hackney - Leabridge,E05000242,2950,10600.00,1050.00,20.10,72.60,7.30,3.90,79.90,24.60,0.50,23.00,
